EventTime,EventType,Event
,AGENT_TYPE,ZeroIntelligenceAgent
,STARTING_CASH,10000000
2019-06-28 09:30:00.000000000,HOLDINGS_UPDATED,{'CASH': 10000000}
2019-06-28 09:30:00.000000069,BID_DEPTH,"[(99985, 100)]"
2019-06-28 09:30:00.000000069,ASK_DEPTH,"[(100029, 100)]"
2019-06-28 09:30:00.000000069,IMBALANCE,"[100, 100]"
2019-06-28 09:47:11.169753458,BID_DEPTH,"[(99944, 282)]"
2019-06-28 09:47:11.169753458,ASK_DEPTH,"[(100030, 182)]"
2019-06-28 09:47:11.169753458,IMBALANCE,"[282, 182]"
2019-06-28 09:47:11.169753458,HOLDINGS_UPDATED,"{'CASH': -3000, 'JPM': 100}"
2019-06-28 10:15:12.336450646,BID_DEPTH,"[(101182, 430)]"
2019-06-28 10:15:12.336450646,ASK_DEPTH,"[(101407, 430)]"
2019-06-28 10:15:12.336450646,IMBALANCE,"[430, 430]"
2019-06-28 10:52:27.788135365,BID_DEPTH,"[(98918, 430)]"
2019-06-28 10:52:27.788135365,ASK_DEPTH,"[(99018, 463)]"
2019-06-28 10:52:27.788135365,IMBALANCE,"[430, 463]"
2019-06-28 10:52:27.788135365,HOLDINGS_UPDATED,{'CASH': 9888800}
2019-06-28 11:10:19.950811777,BID_DEPTH,"[(99570, 170)]"
2019-06-28 11:10:19.950811777,ASK_DEPTH,"[(99951, 182)]"
2019-06-28 11:10:19.950811777,IMBALANCE,"[170, 182]"
2019-06-28 11:11:42.794172572,BID_DEPTH,"[(99570, 301)]"
2019-06-28 11:11:42.794172572,ASK_DEPTH,"[(99951, 207)]"
2019-06-28 11:11:42.794172572,IMBALANCE,"[301, 207]"
2019-06-28 11:12:46.254317747,BID_DEPTH,"[(100081, 99)]"
2019-06-28 11:12:46.254317747,ASK_DEPTH,"[(100342, 100)]"
2019-06-28 11:12:46.254317747,IMBALANCE,"[99, 100]"
2019-06-28 11:14:15.090167813,HOLDINGS_UPDATED,"{'CASH': 19927100, 'JPM': -100}"
2019-06-28 11:34:40.485054801,BID_DEPTH,"[(98451, 430)]"
2019-06-28 11:34:40.485054801,ASK_DEPTH,"[(98597, 430)]"
2019-06-28 11:34:40.485054801,IMBALANCE,"[430, 430]"
2019-06-28 11:35:00.000000000,HOLDINGS_UPDATED,"{'CASH': 20616705, 'JPM': -107}"
2019-06-28 11:35:00.000000000,HOLDINGS_UPDATED,"{'CASH': 21109280, 'JPM': -112}"
2019-06-28 11:35:00.000000000,HOLDINGS_UPDATED,"{'CASH': 21306310, 'JPM': -114}"
2019-06-28 11:35:00.000000000,HOLDINGS_UPDATED,"{'CASH': 21798885, 'JPM': -119}"
2019-06-28 11:35:00.000000000,HOLDINGS_UPDATED,"{'CASH': 22094430, 'JPM': -122}"
2019-06-28 11:35:00.000000000,HOLDINGS_UPDATED,"{'CASH': 22488490, 'JPM': -126}"
2019-06-28 11:35:00.000000000,HOLDINGS_UPDATED,"{'CASH': 23276610, 'JPM': -134}"
2019-06-28 11:35:00.000000000,HOLDINGS_UPDATED,"{'CASH': 23670670, 'JPM': -138}"
2019-06-28 11:35:00.000000000,HOLDINGS_UPDATED,"{'CASH': 23769185, 'JPM': -139}"
2019-06-28 11:35:00.000000000,HOLDINGS_UPDATED,"{'CASH': 23867700, 'JPM': -140}"
2019-06-28 11:35:00.000000000,HOLDINGS_UPDATED,"{'CASH': 24163245, 'JPM': -143}"
2019-06-28 11:35:00.000000000,HOLDINGS_UPDATED,"{'CASH': 24261760, 'JPM': -144}"
2019-06-28 11:35:00.000000000,HOLDINGS_UPDATED,"{'CASH': 24655820, 'JPM': -148}"
2019-06-28 11:35:00.000000000,HOLDINGS_UPDATED,"{'CASH': 25148395, 'JPM': -153}"
2019-06-28 11:35:00.000000000,HOLDINGS_UPDATED,"{'CASH': 25838000, 'JPM': -160}"
2019-06-28 11:35:00.000000000,HOLDINGS_UPDATED,"{'CASH': 26527605, 'JPM': -167}"
2019-06-28 11:35:00.000000000,HOLDINGS_UPDATED,"{'CASH': 27315725, 'JPM': -175}"
2019-06-28 11:35:00.000000000,HOLDINGS_UPDATED,"{'CASH': 27414240, 'JPM': -176}"
2019-06-28 11:35:00.000000000,HOLDINGS_UPDATED,"{'CASH': 28005330, 'JPM': -182}"
2019-06-28 11:35:00.000000000,HOLDINGS_UPDATED,"{'CASH': 28300875, 'JPM': -185}"
2019-06-28 11:35:00.000000000,HOLDINGS_UPDATED,"{'CASH': 29187510, 'JPM': -194}"
2019-06-28 11:35:00.000000000,HOLDINGS_UPDATED,"{'CASH': 29483055, 'JPM': -197}"
2019-06-28 11:35:00.000000000,HOLDINGS_UPDATED,"{'CASH': 29581570, 'JPM': -198}"
2019-06-28 11:35:00.000000000,HOLDINGS_UPDATED,"{'CASH': 29680085, 'JPM': -199}"
2019-06-28 11:35:00.000000000,HOLDINGS_UPDATED,"{'CASH': 29778600, 'JPM': -200}"
2019-06-28 11:35:09.613359661,BID_DEPTH,"[(98451, 166)]"
2019-06-28 11:35:09.613359661,ASK_DEPTH,"[(98515, 62)]"
2019-06-28 11:35:09.613359661,IMBALANCE,"[166, 62]"
2019-06-28 11:38:40.729373482,BID_DEPTH,"[(98572, 166)]"
2019-06-28 11:38:40.729373482,ASK_DEPTH,"[(98597, 166)]"
2019-06-28 11:38:40.729373482,IMBALANCE,"[166, 166]"
2019-06-28 11:38:40.729373482,HOLDINGS_UPDATED,"{'CASH': 19918900, 'JPM': -100}"
2019-06-28 11:44:32.265432826,BID_DEPTH,"[(99656, 182)]"
2019-06-28 11:44:32.265432826,ASK_DEPTH,"[(99681, 240)]"
2019-06-28 11:44:32.265432826,IMBALANCE,"[182, 240]"
2019-06-28 11:44:32.265432826,HOLDINGS_UPDATED,"{'CASH': 14137402, 'JPM': -42}"
2019-06-28 11:44:32.265432826,HOLDINGS_UPDATED,{'CASH': 9950800}
2019-06-28 12:19:41.496838172,BID_DEPTH,"[(101627, 182)]"
2019-06-28 12:19:41.496838172,ASK_DEPTH,"[(101658, 84)]"
2019-06-28 12:19:41.496838172,IMBALANCE,"[182, 84]"
2019-06-28 12:33:09.281403577,HOLDINGS_UPDATED,"{'CASH': -200500, 'JPM': 100}"
2019-06-28 12:46:18.801944832,BID_DEPTH,"[(100170, 152)]"
2019-06-28 12:46:18.801944832,ASK_DEPTH,"[(100260, 76)]"
2019-06-28 12:46:18.801944832,IMBALANCE,"[152, 76]"
2019-06-28 13:38:32.225671725,BID_DEPTH,"[(100750, 365)]"
2019-06-28 13:38:32.225671725,ASK_DEPTH,"[(100989, 265)]"
2019-06-28 13:38:32.225671725,IMBALANCE,"[365, 265]"
2019-06-28 13:49:18.563840334,BID_DEPTH,"[(100616, 260)]"
2019-06-28 13:49:18.563840334,ASK_DEPTH,"[(100898, 166)]"
2019-06-28 13:49:18.563840334,IMBALANCE,"[260, 166]"
2019-06-28 13:52:21.658382746,HOLDINGS_UPDATED,{'CASH': 9905100}
2019-06-28 13:57:10.162675657,BID_DEPTH,"[(101076, 166)]"
2019-06-28 13:57:10.162675657,ASK_DEPTH,"[(101404, 265)]"
2019-06-28 13:57:10.162675657,IMBALANCE,"[166, 265]"
2019-06-28 13:58:51.506321963,BID_DEPTH,"[(100837, 182)]"
